"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.spring","df","logLik","AICc","delta","weight"
"32",12.1679770258804,0.0032742997131909,-0.00417285590399508,-0.284337938770935,-0.334819834667131,-0.018230881281796,NA,NA,1.89547381926373,7,-5769.93810683914,11553.91894546,1400.40753708215,3.89930977192183e-305
"24",12.1337365896238,0.00319294510725295,-0.00665051027750688,-0.287032127799864,NA,-0.0191567637775817,NA,NA,1.9014681853422,6,-5778.23910353277,11568.5102436788,1414.99883530092,2.64562074906207e-308
"30",11.9587877553606,0.00366041870500083,NA,-0.281364055631402,-0.583917019803784,-0.0182609555999011,NA,NA,1.90298175387272,6,-5780.33095488592,11572.6939463851,1419.18253800723,3.26623996446101e-309
"28",12.0215307587344,0.00327243240564109,-0.00410296012431902,NA,-0.341186077716177,-0.0191894953990769,NA,NA,1.90748358536915,6,-5786.54296284663,11585.1179623065,1431.60655392864,6.5494873776295e-312
"20",11.9852187275199,0.00318949795695975,-0.0066275044131688,NA,NA,-0.0201424101145618,NA,NA,1.91366974693766,5,-5795.05527918553,11600.1334329422,1446.62202456427,3.59450663276643e-315
"26",11.8173156764486,0.00365216959206069,NA,NA,-0.586088293620684,-0.0192092112415034,NA,NA,1.91469831544674,5,-5796.46794726308,11602.9587690973,1449.44736071937,8.75236333120415e-316
"86",11.6210373520152,0.00446129304246006,NA,-0.279385105985643,NA,-0.0207620769377246,NA,-0.00909467028710221,1.92956721289671,6,-5816.80500568924,11645.6420479918,1492.13063961387,0
"22",11.4638075840898,0.00412246596652714,NA,-0.284264413647354,NA,-0.021209136241453,NA,NA,1.93528779729226,5,-5824.58766626478,11659.1982071007,1505.68679872278,0
"82",11.4842881785512,0.00446660891913277,NA,NA,NA,-0.021698440339299,NA,-0.00941132778161339,1.94095532834642,5,-5832.27549660779,11674.5738677867,1521.0624594088,0
"18",11.3190120936912,0.00411586738333811,NA,NA,NA,-0.0221782795496424,NA,NA,1.94704843768464,4,-5840.51561082994,11689.0464655623,1535.53505718443,0
"80",12.5977733164695,0.00482898725815295,-0.00511489968728614,-0.426296449609801,-1.05807248093538,NA,NA,-0.0356893889654228,1.97778741922536,7,-5881.69666287897,11777.4360575397,1623.92464916181,0
"95",13.8114693640194,NA,-0.0108894364720961,-0.277891302518607,-0.284404778405009,-0.0199093280312781,NA,-0.00886642322943007,1.98144241111545,7,-5886.55062530118,11787.1439823841,1633.63257400623,0
"87",13.6814431451342,NA,-0.0126186078895215,-0.281249924904649,NA,-0.0207775453267345,NA,-0.00687669065241974,1.98536370394222,6,-5891.74829914787,11795.528634909,1642.01722653112,0
"31",13.4708864807837,NA,-0.0102533928216294,-0.283086788241166,-0.206015342847172,-0.0206765066369368,NA,NA,1.98625751681848,6,-5892.93161143306,11797.8952594794,1644.38385110151,0
"23",13.4295037726367,NA,-0.0116987544648356,-0.28477983881713,NA,-0.0212139523261961,NA,NA,1.98844638864075,5,-5895.82719547623,11801.6772655236,1648.16585714567,0
"78",12.3161272107047,0.00528571025021242,NA,-0.42443157133129,-1.35788103442122,NA,NA,-0.0349237554794203,1.9885552423246,6,-5895.97111109985,11803.974258813,1650.46285043508,0
"91",13.6822600480266,NA,-0.0108449255018063,NA,-0.294037383345086,-0.0208113750884165,NA,-0.00924464445675387,1.99241171238972,6,-5901.06467911386,11814.161394841,1660.64998646311,0
"83",13.5461596846939,NA,-0.0126328385256579,NA,NA,-0.0217206420296262,NA,-0.0071914064855762,1.99658152064056,5,-5906.56101828716,11823.1449111454,1669.63350276754,0
"27",13.3243444726884,NA,-0.0101803519916006,NA,-0.212426722063501,-0.0216295164452275,NA,NA,1.99762123797468,5,-5907.9297104134,11825.8822953979,1672.37088702,0
"19",13.2807620910737,NA,-0.0116705214922153,NA,NA,-0.0221896691978591,NA,NA,1.99993559560451,4,-5910.97379315788,11829.9628302182,1676.45142184032,0
"76",12.3714118244042,0.00492905822420238,-0.0050594155176778,NA,-1.11899573419643,NA,NA,-0.0375089211323527,2.00438190612211,6,-5916.81216893594,11845.6563744852,1692.14496610726,0
"74",12.0937872169424,0.00538041528370419,NA,NA,-1.41530253388074,NA,NA,-0.0367436831967938,2.01477942621888,5,-5930.41457951586,11870.8520336028,1717.34062522493,0
"72",12.1576774589347,0.00455171589092854,-0.0130509529593322,-0.480499663930679,NA,NA,NA,-0.029151553689702,2.03605099197533,6,-5958.02544179758,11928.0829202084,1774.57151183055,0
"29",13.3060852025144,NA,NA,-0.273825529296449,-0.900020001699002,-0.0216214142101933,NA,NA,2.0379231238043,5,-5960.44167458892,11930.9062237489,1777.39481537105,0
"93",13.4091120922856,NA,NA,-0.272026086671282,-0.937892687591868,-0.0214004396978471,NA,-0.00276510604146762,2.0374480944087,6,-5959.8287967823,11931.6896301779,1778.17822179998,0
"25",13.1654401452356,NA,NA,NA,-0.901439904025799,-0.0225369485050823,NA,NA,2.04829161083764,4,-5973.78351425393,11955.5822724103,1802.07086403242,0
"89",13.2842290515688,NA,NA,NA,-0.944707795331165,-0.0222775573521498,NA,-0.00315979150830518,2.04767382932753,5,-5972.99046674115,11956.0038080534,1802.49239967552,0
"16",11.4501464158114,0.00405533366694194,-0.00432410630722237,-0.489462430267711,-0.802969505480299,NA,NA,NA,2.05412720088584,6,-5981.26289521845,11974.5578270502,1821.04641867227,0
"14",11.2321347012877,0.00445680715411273,NA,-0.486731237473249,-1.06191128257486,NA,NA,NA,2.06156828503109,5,-5990.76925038983,11991.5613753508,1838.04996697288,0
"68",11.8718794192997,0.00464721486462848,-0.0135068064193952,NA,NA,NA,NA,-0.0307901242680342,2.06906814039379,5,-6000.31603174972,12010.6549380705,1857.14352969265,0
"12",11.1205761146648,0.00412547526821522,-0.00421327313354323,NA,-0.858405884386587,NA,NA,NA,2.08808872150973,5,-6024.37355873606,12058.7699920432,1905.25858366534,0
"8",11.2676412625844,0.00394771325538828,-0.010740072864579,-0.523310773056881,NA,NA,NA,NA,2.08814478719988,5,-6024.44414707797,12058.911168727,1905.39976034916,0
"10",10.9099140909251,0.00451633294681681,NA,NA,-1.11044524674949,NA,NA,NA,2.09504035403325,4,-6033.11144771737,12074.2381393372,1920.72673095928,0
"85",12.402252737906,NA,NA,-0.284628912566021,NA,-0.0271377929764435,NA,0.0125964230562356,2.10179336018505,5,-6041.57195375792,12093.1667820869,1939.65537370906,0
"81",12.2638821437919,NA,NA,NA,NA,-0.0280994921892037,NA,0.0123001468024466,2.11264867983724,4,-6055.11524048845,12118.2457248793,1964.73431650144,0
"21",12.7685482699485,NA,NA,-0.277049599178904,NA,-0.0272006539075638,NA,NA,2.11407896372695,4,-6056.89449707021,12121.8042380429,1968.29282966498,0
"17",12.6253865522056,NA,NA,NA,NA,-0.028135890872001,NA,NA,2.12431214793985,3,-6069.58945270916,12145.1880482755,1991.67663989757,0
"4",10.9000534727685,0.00401508323979764,-0.0110968638567884,NA,NA,NA,NA,NA,2.12648193582436,4,-6072.27336198889,12152.5619678802,1999.05055950232,0
"70",10.3074033441274,0.00627362183229836,NA,-0.541942480718974,NA,NA,NA,-0.01723002504744,2.15446227977373,5,-6106.64025305483,12223.3033806808,2069.79197230288,0
"79",13.8785590329781,NA,-0.0135284334956433,-0.488256970654762,-0.865111260354947,NA,NA,-0.0218909483301043,2.15741216857672,6,-6110.2374166392,12232.5068698917,2078.99546151378,0
"6",9.94903800140838,0.00569448425328685,NA,-0.562289012105073,NA,NA,NA,NA,2.17315914912939,4,-6129.35683128386,12266.7289064702,2113.21749809226,0
"15",12.9939809553764,NA,-0.0121299699876372,-0.523068858509802,-0.718519676682126,NA,NA,NA,2.18583508696741,5,-6144.64711739514,12299.3171093614,2145.8057009835,0
"75",13.6490047819542,NA,-0.013664991241782,NA,-0.930506511144047,NA,NA,-0.0236527432732594,2.18946874503265,5,-6149.01384922297,12308.050573017,2154.53916463915,0
"66",9.91039441646491,0.00644995490547732,NA,NA,NA,NA,NA,-0.0186146577161174,2.19428813860653,4,-6154.79436632122,12317.6039765449,2164.092568167,0
"71",13.4541508225821,NA,-0.0196866819268711,-0.530104472817687,NA,NA,NA,-0.017143501047691,2.19372324518478,5,-6154.1174743608,12318.2578232927,2164.74641491481,0
"7",12.7934491741439,NA,-0.0177013417501764,-0.552641796483071,NA,NA,NA,NA,2.21156505113567,4,-6175.4129543215,12358.8411525454,2205.32974416755,0
"2",9.50590689385476,0.00582955731693569,NA,NA,NA,NA,NA,NA,2.21576766208887,3,-6180.40407119937,12366.8172852559,2213.305876878,0
"11",12.6699333294195,NA,-0.0121558388772896,NA,-0.776269947548504,NA,NA,NA,2.2223237277843,4,-6188.171333176,12384.3579102544,2230.84650187656,0
"67",13.1682381653865,NA,-0.0203446171345592,NA,NA,NA,NA,-0.0186766029597058,2.23108688194682,4,-6198.51772341355,12405.0506907295,2251.53928235165,0
"77",13.3758098960652,NA,NA,-0.500771079647352,-1.74700745166086,NA,NA,-0.0154051638298279,2.23791048036645,5,-6206.54603613414,12423.1149468394,2269.6035384615,0
"3",12.4324113678026,NA,-0.0182040679077247,NA,NA,NA,NA,NA,2.2519745294811,3,-6223.01617110237,12452.0414850619,2298.530076684,0
"13",12.7713726548358,NA,NA,-0.525103898561145,-1.57440753312431,NA,NA,NA,2.25195678877548,4,-6222.99546016706,12454.0061642366,2300.49475585868,0
"73",13.1351049741091,NA,NA,NA,-1.82322864590075,NA,NA,-0.0171454177978294,2.27043208166187,4,-6244.47606106467,12496.9673660318,2343.45595765389,0
"9",12.4455850023203,NA,NA,NA,-1.63421538645655,NA,NA,NA,2.28766528648759,3,-6264.3555448507,12534.7202325585,2381.20882418065,0
"69",10.9144300478106,NA,NA,-0.679908428072425,NA,NA,NA,0.0136064032051557,2.49206389641703,4,-6489.34396955651,12986.7031830155,2833.19177463757,0
"5",11.3064452707012,NA,NA,-0.672709092552923,NA,NA,NA,NA,2.50416192901111,3,-6502.07589600019,13010.1609348575,2856.64952647964,0
"65",10.4343217729055,NA,NA,NA,NA,NA,NA,0.0129519609503914,2.5465557077788,3,-6546.21055958767,13098.4302620325,2944.9188536546,0
"1",10.8125136143837,NA,NA,NA,NA,NA,NA,NA,2.55729225655938,2,-6557.27140175123,13118.5473731902,2965.03596481231,0
