"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15258000,2011-12-14,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-12-15,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-16,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-17,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-18,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-19,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-20,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-21,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-22,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-23,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-24,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-25,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-26,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-12-27,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-28,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-29,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-30,2,"A",1.5,"A",2,"A"
"USGS",15258000,2011-12-31,2,"A",1.5,"A",2,"A"
"USGS",15258000,2012-01-01,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2012-01-02,2,"A",1.5,"A",2,"A"
"USGS",15258000,2012-01-03,2,"A",2,"A",2,"A"
"USGS",15258000,2012-01-04,2,"A",1.5,"A",2,"A"
"USGS",15258000,2012-01-05,2,"A",1.5,"A",2,"A"
"USGS",15258000,2012-01-06,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2012-01-07,1.5,"A",1,"A",1,"A"
"USGS",15258000,2012-01-08,1,"A",1,"A",1,"A"
"USGS",15258000,2012-01-09,1,"A",1,"A",1,"A"
"USGS",15258000,2012-01-10,1,"A",1,"A",1,"A"
"USGS",15258000,2012-01-11,1,"A",1,"A",1,"A"
"USGS",15258000,2012-01-12,1,"A",0.5,"A",1,"A"
"USGS",15258000,2012-01-13,1,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-14,0.5,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-15,1,"A",0.5,"A",1,"A"
"USGS",15258000,2012-01-16,1,"A",0.5,"A",1,"A"
"USGS",15258000,2012-01-17,1,"A",0.5,"A",1,"A"
"USGS",15258000,2012-01-18,1,"A",0.5,"A",1,"A"
"USGS",15258000,2012-01-19,1,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-20,0.5,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-21,1,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-22,1,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-23,0.5,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-24,1,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-25,0.5,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-26,0.5,"A",0.5,"A",0.5,"A"
"USGS",15258000,2012-01-27,0.5,"A",0.5,"A",0.5,"A"
