sampleDate,sampleTime,Temperatue
10/20/2017,11:30:00,31.942
10/20/2017,11:45:00,31.289
10/20/2017,12:00:00,31.692
10/20/2017,12:15:00,31.239
10/20/2017,12:30:00,30.884
10/20/2017,12:45:00,31.591
10/20/2017,13:00:00,29.917
10/20/2017,13:15:00,29.764
10/20/2017,13:30:00,31.692
10/20/2017,13:45:00,32.043
10/20/2017,14:00:00,32.092
10/20/2017,14:15:00,32.043
10/20/2017,14:30:00,32.592
10/20/2017,14:45:00,34.32
10/20/2017,15:00:00,35.103
10/20/2017,15:15:00,35.733
10/20/2017,15:30:00,33.928
10/20/2017,15:45:00,34.858
10/20/2017,16:00:00,36.025
10/20/2017,16:15:00,47.289
10/20/2017,16:30:00,56.815
10/20/2017,16:45:00,60.003
10/20/2017,17:00:00,61.633
10/20/2017,17:15:00,62.49
10/20/2017,17:30:00,63.005
10/20/2017,17:45:00,63.262
10/20/2017,18:00:00,63.518
10/20/2017,18:15:00,63.689
10/20/2017,18:30:00,63.946
10/20/2017,18:45:00,64.632
10/20/2017,19:00:00,65.23
10/20/2017,19:15:00,65.788
10/20/2017,19:30:00,66.173
10/20/2017,19:45:00,66.344
10/20/2017,20:00:00,66.301
10/20/2017,20:15:00,66.173
10/20/2017,20:30:00,66.087
10/20/2017,20:45:00,65.959
10/20/2017,21:00:00,65.829
10/20/2017,21:15:00,65.658
10/20/2017,21:30:00,65.487
10/20/2017,21:45:00,65.316
10/20/2017,22:00:00,65.23
10/20/2017,22:15:00,65.059
10/20/2017,22:30:00,65.059
10/20/2017,22:45:00,64.931
10/20/2017,23:00:00,64.931
10/20/2017,23:15:00,64.803
10/20/2017,23:30:00,64.76
10/20/2017,23:45:00,64.717
10/21/2017,0:00:00,64.589
10/21/2017,0:15:00,64.632
10/21/2017,0:30:00,64.503
10/21/2017,0:45:00,64.589
10/21/2017,1:00:00,64.459
10/21/2017,1:15:00,64.546
10/21/2017,1:30:00,64.503
10/21/2017,1:45:00,64.503
10/21/2017,2:00:00,64.546
10/21/2017,2:15:00,64.459
10/21/2017,2:30:00,64.503
10/21/2017,2:45:00,64.375
10/21/2017,3:00:00,64.503
10/21/2017,3:15:00,64.375
10/21/2017,3:30:00,64.459
10/21/2017,3:45:00,64.418
10/21/2017,4:00:00,64.375
10/21/2017,4:15:00,64.418
10/21/2017,4:30:00,64.332
10/21/2017,4:45:00,64.459
10/21/2017,5:00:00,64.459
10/21/2017,5:15:00,64.503
10/21/2017,5:30:00,64.546
10/21/2017,5:45:00,64.546
10/21/2017,6:00:00,64.459
10/21/2017,6:15:00,64.546
10/21/2017,6:30:00,64.459
10/21/2017,6:45:00,64.546
10/21/2017,7:00:00,64.546
