Hydrolab MS5 46440,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_081116_082616,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 080916,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 144608,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 081116,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 082616,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 081116 095903,,,,,,,,,,,,,,,
Late probe turn on at 081116 095903,,,,,,,,,,,,,,,
8/13/2016,14:15:00,,11.68,,10.58,,96.6,,7.94,,6.9,,11.6,,116.4
8/13/2016,14:30:00,,11.7,,10.55,,96.6,,7.94,,5.8,,11.6,,116.2
8/13/2016,14:45:00,,11.7,,10.55,,96.5,,7.94,,6.5,,11.6,,116.1
8/13/2016,15:00:00,,11.71,,10.56,,96.4,,7.94,,5.6,,11.6,,116.3
8/13/2016,15:15:00,,11.73,,10.52,,96.6,,7.94,,6.5,,11.6,,115.9
8/13/2016,15:30:00,,11.78,,10.55,,96.6,,7.94,,10.4,,11.6,,116.3
8/13/2016,15:45:00,,11.84,,10.51,,96.5,,7.95,,5.4,,11.6,,116.1
8/13/2016,16:00:00,,11.88,,10.5,,94.8,,7.95,,5.5,,11.6,,116.1
8/13/2016,16:15:00,,11.93,,10.54,,96.5,,7.95,,5.1,,11.6,,116.7
8/13/2016,16:30:00,,11.96,,10.54,,96.6,,7.95,,6.2,,11.6,,116.7
8/13/2016,16:45:00,,11.96,,10.47,,96.6,,7.94,,5.2,,11.6,,116
8/13/2016,17:00:00,,11.98,,10.45,,96.5,,7.94,,5.4,,11.6,,115.8
8/13/2016,17:15:00,,12,,10.52,,96.4,,7.94,,6.2,,11.6,,116.6
8/13/2016,17:30:00,,12.01,,10.49,,96.5,,7.95,,5.7,,11.6,,116.2
8/13/2016,17:45:00,,12,,10.49,,96.5,,7.95,,6.1,,11.6,,116.3
